Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.022560034302241464,Original,1
BigFeat_Gen_1,0.020143102199445484,BigFeat_Generated,2
HH_L1_mean,0.018086120437736896,Original,3
HH_L1_magnitude,0.015157287090234306,Original,4
HH_L3_magnitude,0.014153420958756364,Original,5
HH_L3_mean,0.013847440169658007,Original,6
HH_L3_weight,0.012995349192149343,Original,7
HH_L5_weight,0.01184092968386689,Original,8
HH_L5_magnitude,0.0117452744997805,Original,9
BigFeat_Gen_0,0.011290539000378477,BigFeat_Generated,10
HH_L5_mean,0.011192075867812734,Original,11
BigFeat_Gen_3,0.011171170089957994,BigFeat_Generated,12
BigFeat_Gen_2,0.00997598937921413,BigFeat_Generated,13
HH_L1_radius,0.0044618046277353765,Original,14
HH_L1_std,0.004180187203707365,Original,15
