Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.04119377868964161,Original,1
HH_L3_weight,0.035222512329748476,Original,2
BigFeat_Gen_0,0.03450173508441616,BigFeat_Generated,3
HH_L5_weight,0.024409533980024344,Original,4
BigFeat_Gen_1,0.024372905951235046,BigFeat_Generated,5
HH_L1_mean,0.020762855160535824,Original,6
HH_L3_mean,0.019841755269780968,Original,7
HH_L1_magnitude,0.01890571273339647,Original,8
HH_L5_magnitude,0.018288536526642016,Original,9
HH_L3_magnitude,0.01644186088224887,Original,10
HH_L5_mean,0.01634038941864183,Original,11
HH_L1_radius,0.013399024129210825,Original,12
HH_L1_std,0.013283583822274856,Original,13
HH_L3_std,0.011865865658365808,Original,14
HH_L3_radius,0.011314683430555868,Original,15
