Model,Feature,SHAP_Value,Feature_Type,Rank
ExtraTrees Original,HH_L1_weight,0.0314997011940114,Original,1
ExtraTrees Original,HH_L5_magnitude,0.0268697537355776,Original,2
ExtraTrees Original,HH_L3_weight,0.024390513758297774,Original,3
ExtraTrees Original,HH_L1_magnitude,0.02295301976407165,Original,4
ExtraTrees Original,HH_L3_magnitude,0.022266073017147284,Original,5
ExtraTrees Original,HH_L5_weight,0.018072071505172826,Original,6
ExtraTrees Original,HH_L5_mean,0.01732644098172846,Original,7
ExtraTrees Original,HH_L3_mean,0.01683824428708254,Original,8
ExtraTrees Original,HH_L1_mean,0.014052960407336067,Original,9
ExtraTrees Original,HH_L5_std,0.006224812041925431,Original,10
ExtraTrees Original,HH_L1_std,0.005780613715776609,Original,11
ExtraTrees Original,HH_L1_radius,0.005725178191627756,Original,12
ExtraTrees Original,HH_L3_radius,0.00519149280661148,Original,13
ExtraTrees Original,HH_L3_std,0.005169937881001275,Original,14
ExtraTrees Original,HH_L5_radius,0.005012634990705164,Original,15
ExtraTrees BigFeat,HH_L1_weight,0.02107707930166229,Original,1
ExtraTrees BigFeat,BigFeat_Gen_1,0.016848791727816333,BigFeat_Generated,2
ExtraTrees BigFeat,HH_L3_magnitude,0.015833950824854514,Original,3
ExtraTrees BigFeat,HH_L1_magnitude,0.014229960649454542,Original,4
ExtraTrees BigFeat,HH_L3_weight,0.014166122925568876,Original,5
ExtraTrees BigFeat,HH_L5_weight,0.013156122012574862,Original,6
ExtraTrees BigFeat,BigFeat_Gen_2,0.013149271454520805,BigFeat_Generated,7
ExtraTrees BigFeat,HH_L1_mean,0.012095960706616409,Original,8
ExtraTrees BigFeat,HH_L5_mean,0.011775704164181177,Original,9
ExtraTrees BigFeat,HH_L5_magnitude,0.011725866908096998,Original,10
ExtraTrees BigFeat,BigFeat_Gen_4,0.009418027083611369,BigFeat_Generated,11
ExtraTrees BigFeat,HH_L3_mean,0.009143146626203393,Original,12
ExtraTrees BigFeat,BigFeat_Gen_0,0.007930540909694484,BigFeat_Generated,13
ExtraTrees BigFeat,BigFeat_Gen_5,0.0073924451889196205,BigFeat_Generated,14
ExtraTrees BigFeat,BigFeat_Gen_3,0.006463582040673821,BigFeat_Generated,15
TPOT Original,HH_L1_weight,0.027226776307945153,Original,1
TPOT Original,HH_L3_magnitude,0.026166846652750334,Original,2
TPOT Original,HH_L5_magnitude,0.023301685466333134,Original,3
TPOT Original,HH_L3_weight,0.022991671281825075,Original,4
TPOT Original,HH_L1_magnitude,0.021663264788184446,Original,5
TPOT Original,HH_L5_weight,0.017556857541897303,Original,6
TPOT Original,HH_L3_mean,0.016260835942943322,Original,7
TPOT Original,HH_L5_mean,0.015671733692857126,Original,8
TPOT Original,HH_L1_mean,0.012928228843438748,Original,9
TPOT Original,HH_L1_std,0.005925198562893792,Original,10
TPOT Original,HH_L3_std,0.005110100439073537,Original,11
TPOT Original,HH_L5_std,0.005071946080214943,Original,12
TPOT Original,HH_L1_radius,0.005065057200263981,Original,13
TPOT Original,HH_L3_radius,0.00436163616419658,Original,14
TPOT Original,HH_L5_radius,0.004281900504459724,Original,15
TPOT BigFeat,HH_L1_weight,0.024774918004633023,Original,1
TPOT BigFeat,HH_L1_magnitude,0.018172229889898847,Original,2
TPOT BigFeat,HH_L3_magnitude,0.01801096723350704,Original,3
TPOT BigFeat,BigFeat_Gen_1,0.017627953816659596,BigFeat_Generated,4
TPOT BigFeat,HH_L5_magnitude,0.014047253712639027,Original,5
TPOT BigFeat,HH_L3_weight,0.012311673284109705,Original,6
TPOT BigFeat,HH_L3_mean,0.012130737309087878,Original,7
TPOT BigFeat,HH_L5_mean,0.011249949015939183,Original,8
TPOT BigFeat,HH_L1_mean,0.010570332650451493,Original,9
TPOT BigFeat,HH_L5_weight,0.010445751216980046,Original,10
TPOT BigFeat,BigFeat_Gen_2,0.00957591458656093,BigFeat_Generated,11
TPOT BigFeat,BigFeat_Gen_0,0.008758851669797632,BigFeat_Generated,12
TPOT BigFeat,BigFeat_Gen_3,0.006867247830244202,BigFeat_Generated,13
TPOT BigFeat,BigFeat_Gen_4,0.006782753425023652,BigFeat_Generated,14
TPOT BigFeat,BigFeat_Gen_5,0.00554030546321482,BigFeat_Generated,15
