Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L5_magnitude,0.026356519102460993,Original,1
HH_L1_magnitude,0.026039624991974944,Original,2
HH_L1_weight,0.02367931848843869,Original,3
HH_L3_magnitude,0.022178720449361772,Original,4
HH_L5_mean,0.02141195155275182,Original,5
HH_L3_weight,0.020987033676564393,Original,6
HH_L3_mean,0.020568979624347693,Original,7
HH_L1_mean,0.019288119955745076,Original,8
HH_L5_weight,0.014542539803136443,Original,9
HH_L1_std,0.010170903383809642,Original,10
HH_L1_radius,0.007741035718077831,Original,11
HH_L5_std,0.007503731499435649,Original,12
HH_L3_std,0.006918534771164053,Original,13
HH_L5_radius,0.0059918701273696685,Original,14
HH_L3_radius,0.005137655823482646,Original,15
