Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.0343816466909664,Original,1
HH_L3_magnitude,0.030612050464281435,Original,2
HH_L1_magnitude,0.029459465448197126,Original,3
HH_L3_weight,0.02480994128466532,Original,4
HH_L5_magnitude,0.022585183552139534,Original,5
HH_L1_mean,0.020508526393946677,Original,6
HH_L3_mean,0.019423254454974635,Original,7
HH_L5_weight,0.018658264660192533,Original,8
HH_L5_mean,0.01840830171025884,Original,9
HH_L5_radius,0.009072778906982732,Original,10
HH_L3_radius,0.008969233272544973,Original,11
HH_L1_radius,0.00888665177867541,Original,12
HH_L5_std,0.00858711396578478,Original,13
HH_L3_std,0.008376538062003053,Original,14
HH_L1_std,0.008282245413867207,Original,15
